case_id,query_id,query_name,site,reference_type,method,y_true,y_pred
1,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
2,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
3,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
4,1,心停止+ECMO,tohoku,doctor,keyword_search,1,1
5,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
6,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
7,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
8,1,心停止+ECMO,tohoku,doctor,keyword_search,1,1
9,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
10,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
11,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
12,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
13,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
14,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
15,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
16,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
17,1,心停止+ECMO,tohoku,doctor,keyword_search,1,1
18,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
19,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
20,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
21,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
22,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
23,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
24,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
25,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
26,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
27,1,心停止+ECMO,tohoku,doctor,keyword_search,1,0
28,1,心停止+ECMO,tohoku,doctor,keyword_search,1,1
29,1,心停止+ECMO,tohoku,doctor,keyword_search,0,0
30,1,心停止+ECMO,tohoku,doctor,keyword_search,0,1
1,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
2,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
3,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
4,1,心停止+ECMO,tohoku,doctor,semantic_search,1,0
5,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
6,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
7,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
8,1,心停止+ECMO,tohoku,doctor,semantic_search,1,1
9,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
10,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
11,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
12,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
13,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
14,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
15,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
16,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
17,1,心停止+ECMO,tohoku,doctor,semantic_search,1,0
18,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
19,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
20,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
21,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
22,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
23,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
24,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
25,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
26,1,心停止+ECMO,tohoku,doctor,semantic_search,0,1
27,1,心停止+ECMO,tohoku,doctor,semantic_search,1,1
28,1,心停止+ECMO,tohoku,doctor,semantic_search,1,1
29,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
30,1,心停止+ECMO,tohoku,doctor,semantic_search,0,0
1,1,心停止+ECMO,tohoku,doctor,bm25,0,1
2,1,心停止+ECMO,tohoku,doctor,bm25,0,0
3,1,心停止+ECMO,tohoku,doctor,bm25,0,0
4,1,心停止+ECMO,tohoku,doctor,bm25,1,1
5,1,心停止+ECMO,tohoku,doctor,bm25,0,1
6,1,心停止+ECMO,tohoku,doctor,bm25,0,0
7,1,心停止+ECMO,tohoku,doctor,bm25,0,0
8,1,心停止+ECMO,tohoku,doctor,bm25,1,1
9,1,心停止+ECMO,tohoku,doctor,bm25,0,1
10,1,心停止+ECMO,tohoku,doctor,bm25,0,1
11,1,心停止+ECMO,tohoku,doctor,bm25,0,1
12,1,心停止+ECMO,tohoku,doctor,bm25,0,0
13,1,心停止+ECMO,tohoku,doctor,bm25,0,1
14,1,心停止+ECMO,tohoku,doctor,bm25,0,1
15,1,心停止+ECMO,tohoku,doctor,bm25,0,1
16,1,心停止+ECMO,tohoku,doctor,bm25,0,0
17,1,心停止+ECMO,tohoku,doctor,bm25,1,1
18,1,心停止+ECMO,tohoku,doctor,bm25,0,0
19,1,心停止+ECMO,tohoku,doctor,bm25,0,1
20,1,心停止+ECMO,tohoku,doctor,bm25,0,0
21,1,心停止+ECMO,tohoku,doctor,bm25,0,0
22,1,心停止+ECMO,tohoku,doctor,bm25,0,0
23,1,心停止+ECMO,tohoku,doctor,bm25,0,1
24,1,心停止+ECMO,tohoku,doctor,bm25,0,0
25,1,心停止+ECMO,tohoku,doctor,bm25,0,1
26,1,心停止+ECMO,tohoku,doctor,bm25,0,1
27,1,心停止+ECMO,tohoku,doctor,bm25,1,0
28,1,心停止+ECMO,tohoku,doctor,bm25,1,1
29,1,心停止+ECMO,tohoku,doctor,bm25,0,1
30,1,心停止+ECMO,tohoku,doctor,bm25,0,1
1,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,1
2,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
3,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
4,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,1,1
5,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
6,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
7,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
8,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,1,1
9,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
10,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
11,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,1
12,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
13,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
14,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
15,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
16,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,1
17,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,1,1
18,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,1
19,1,心停止+ECMO,tohoku,doctor,GPT-OSS-20B,0,0
